        35       145       165
    315.00        43        69         1
    441.00        49        34         3
    342.00        84        67         1
    505.00        74        92         1
    691.00        64        56         1
    531.00        70        35         2
    399.00        93        47         3
    418.00        59        41         1
    236.00        93       104         1
    639.00        68       103         1
    452.00        67        78         2
    237.00        65        79         4
    348.00        46        53         2
    696.00        72        38         3
    250.00        34        42         1
    556.00        78        72         1
    285.00        42        71         2
    203.00        51        80         2
    741.00        50        62         4
    732.00        90        92         1
    611.00        73        85         1
    499.00        43        46         2
    184.00        73        62         1
    460.00        68        77         2
    324.00        47        42         1
    420.00        88        47         1
    749.00        65        53         1
    189.00        69        74         4
    279.00        88        89         1
    445.00        65        86         1
    713.00        36        94         2
    396.00        34       104         4
    150.00        73        86         1
    446.00        57        81         1
    692.00        74        41         3
