name=LU4;stock_length=45237;stock_width=35983;item_number=200;optimum=1627681752

name=B1;length=28;width=80;profit=2240
name=B2;length=48;width=188;profit=9024
name=B3;length=256;width=358;profit=91648
name=B4;length=444;width=566;profit=251304
name=B5;length=2588;width=254;profit=657352
name=B6;length=256;width=4502;profit=1152512
name=B7;length=2002;width=322;profit=644644
name=B8;length=3028;width=1002;profit=3034056
name=B9;length=802;width=654;profit=524508
name=B10;length=364;width=388;profit=141232
name=B11;length=532;width=2490;profit=1324680
name=B12;length=534;width=2320;profit=1238880
name=B13;length=536;width=632;profit=338752
name=B14;length=522;width=436;profit=227592
name=B15;length=904;width=2098;profit=1896592
name=B16;length=764;width=2224;profit=1699136
name=B17;length=832;width=392;profit=326144
name=B18;length=2110;width=5548;profit=11706280
name=B19;length=698;width=232;profit=161936
name=B20;length=456;width=322;profit=146832
name=B21;length=1532;width=1490;profit=2282680
name=B22;length=1532;width=1320;profit=2022240
name=B23;length=1534;width=1632;profit=2503488
name=B24;length=1522;width=1436;profit=2185592
name=B25;length=1904;width=1098;profit=2090592
name=B26;length=1764;width=1224;profit=2159136
name=B27;length=1832;width=1392;profit=2550144
name=B28;length=1110;width=1548;profit=1718280
name=B29;length=1698;width=1232;profit=2091936
name=B30;length=1456;width=1322;profit=1924832
name=B31;length=3532;width=1490;profit=5262680
name=B32;length=3532;width=1320;profit=4662240
name=B33;length=3536;width=1632;profit=5770752
name=B34;length=3522;width=1436;profit=5057592
name=B35;length=3904;width=1098;profit=4286592
name=B36;length=3764;width=1224;profit=4607136
name=B37;length=3832;width=1392;profit=5334144
name=B38;length=3110;width=1548;profit=4814280
name=B39;length=3698;width=1232;profit=4555936
name=B40;length=3456;width=1322;profit=4568832
name=B41;length=1532;width=2490;profit=3814680
name=B42;length=1532;width=2320;profit=3554240
name=B43;length=1532;width=2632;profit=4032224
name=B44;length=1522;width=2436;profit=3707592
name=B45;length=1904;width=2098;profit=3994592
name=B46;length=1764;width=2224;profit=3923136
name=B47;length=1832;width=2392;profit=4382144
name=B48;length=1110;width=2548;profit=2828280
name=B49;length=1698;width=2232;profit=3789936
name=B50;length=1456;width=2322;profit=3380832
name=B51;length=436;width=1490;profit=649640
name=B52;length=232;width=1320;profit=306240
name=B53;length=236;width=932;profit=219952
name=B54;length=822;width=636;profit=522792
name=B55;length=1004;width=1094;profit=1098376
name=B56;length=2694;width=1220;profit=3286680
name=B57;length=632;width=894;profit=565008
name=B58;length=1110;width=346;profit=384060
name=B59;length=598;width=532;profit=318136
name=B60;length=658;width=920;profit=605360
name=B61;length=730;width=1830;profit=1335900
name=B62;length=822;width=1740;profit=1430280
name=B63;length=932;width=1108;profit=1032656
name=B64;length=598;width=732;profit=437736
name=B65;length=562;width=1322;profit=742964
name=B66;length=1794;width=1008;profit=1808352
name=B67;length=1248;width=748;profit=933504
name=B68;length=936;width=892;profit=834912
name=B69;length=362;width=182;profit=65884
name=B70;length=378;width=200;profit=75600
name=B71;length=410;width=164;profit=67240
name=B72;length=424;width=148;profit=62752
name=B73;length=426;width=296;profit=126096
name=B74;length=438;width=116;profit=50808
name=B75;length=464;width=1006;profit=466784
name=B76;length=520;width=206;profit=107120
name=B77;length=520;width=350;profit=182000
name=B78;length=540;width=530;profit=286200
name=B79;length=548;width=1412;profit=773776
name=B80;length=548;width=1882;profit=1031336
name=B81;length=552;width=496;profit=273792
name=B82;length=554;width=754;profit=417716
name=B83;length=556;width=496;profit=275776
name=B84;length=558;width=654;profit=364932
name=B85;length=570;width=478;profit=272460
name=B86;length=572;width=592;profit=338624
name=B87;length=574;width=978;profit=561372
name=B88;length=576;width=1176;profit=677376
name=B89;length=578;width=1574;profit=909772
name=B90;length=580;width=1390;profit=806200
name=B91;length=590;width=1490;profit=879100
name=B92;length=600;width=1590;profit=954000
name=B93;length=620;width=1690;profit=1047800
name=B94;length=662;width=1034;profit=684508
name=B95;length=724;width=1724;profit=1248176
name=B96;length=1526;width=1446;profit=2206596
name=B97;length=1858;width=2648;profit=4919984
name=B98;length=1728;width=464;profit=801792
name=B99;length=928;width=1674;profit=1553472
name=B100;length=2028;width=932;profit=1890096
name=B101;length=1022;width=1638;profit=1674036
name=B102;length=752;width=746;profit=560992
name=B103;length=926;width=916;profit=848216
name=B104;length=2006;width=566;profit=1135396
name=B105;length=1024;width=1892;profit=1937408
name=B106;length=1376;width=1932;profit=2658432
name=B107;length=724;width=1750;profit=1267000
name=B108;length=2098;width=946;profit=1984708
name=B109;length=1238;width=1204;profit=1490552
name=B110;length=1026;width=764;profit=783864
name=B111;length=1736;width=932;profit=1617952
name=B112;length=996;width=2532;profit=2521872
name=B113;length=1966;width=2422;profit=4761652
name=B114;length=2828;width=1942;profit=5491976
name=B115;length=1534;width=1788;profit=2742792
name=B116;length=432;width=738;profit=318816
name=B117;length=732;width=822;profit=601704
name=B118;length=636;width=932;profit=592752
name=B119;length=822;width=598;profit=491556
name=B120;length=1004;width=568;profit=570272
name=B121;length=466;width=792;profit=369072
name=B122;length=932;width=648;profit=603936
name=B123;length=2110;width=932;profit=1966520
name=B124;length=598;width=562;profit=336076
name=B125;length=658;width=726;profit=477708
name=B126;length=924;width=3722;profit=3439128
name=B127;length=1490;width=1830;profit=2726700
name=B128;length=1320;width=1740;profit=2296800
name=B129;length=932;width=2100;profit=1957200
name=B130;length=638;width=732;profit=467016
name=B131;length=1094;width=1322;profit=1446268
name=B132;length=1222;width=2402;profit=2935244
name=B133;length=894;width=746;profit=666924
name=B134;length=544;width=894;profit=486336
name=B135;length=532;width=2132;profit=1134224
name=B136;length=452;width=642;profit=290184
name=B137;length=724;width=1264;profit=915136
name=B138;length=928;width=678;profit=629184
name=B139;length=828;width=632;profit=523296
name=B140;length=724;width=938;profit=679112
name=B141;length=754;width=444;profit=334776
name=B142;length=928;width=316;profit=293248
name=B143;length=2006;width=894;profit=1793364
name=B144;length=576;width=1932;profit=1112832
name=B145;length=726;width=1750;profit=1270500
name=B146;length=1974;width=946;profit=1867404
name=B147;length=1238;width=1206;profit=1493028
name=B148;length=1228;width=762;profit=935736
name=B149;length=1732;width=932;profit=1614224
name=B150;length=992;width=2532;profit=2511744
name=B151;length=562;width=2420;profit=1360040
name=B152;length=724;width=1944;profit=1407456
name=B153;length=1538;width=788;profit=1211944
name=B154;length=648;width=1232;profit=798336
name=B155;length=1026;width=892;profit=915192
name=B156;length=2366;width=248;profit=586768
name=B157;length=542;width=128;profit=69376
name=B158;length=236;width=542;profit=127912
name=B159;length=128;width=1266;profit=162048
name=B160;length=1026;width=2786;profit=2858436
name=B161;length=9096;width=8726;profit=79371696
name=B162;length=5468;width=3524;profit=19269232
name=B163;length=1266;width=4526;profit=5729916
name=B164;length=2354;width=1296;profit=3050784
name=B165;length=2694;width=2548;profit=6864312
name=B166;length=2544;width=5004;profit=12730176
name=B167;length=586;width=894;profit=523884
name=B168;length=568;width=898;profit=510064
name=B169;length=564;width=1022;profit=576408
name=B170;length=1254;width=2016;profit=2528064
name=B171;length=2016;width=1254;profit=2528064
name=B172;length=1258;width=1298;profit=1632884
name=B173;length=2350;width=2364;profit=5555400
name=B174;length=2504;width=2504;profit=6270016
name=B175;length=1296;width=2366;profit=3066336
name=B176;length=298;width=132;profit=39336
name=B177;length=358;width=124;profit=44392
name=B178;length=438;width=830;profit=363540
name=B179;length=122;width=740;profit=90280
name=B180;length=332;width=1108;profit=367856
name=B181;length=498;width=732;profit=364536
name=B182;length=266;width=326;profit=86716
name=B183;length=796;width=106;profit=84376
name=B184;length=248;width=646;profit=160208
name=B185;length=536;width=396;profit=212256
name=B186;length=1666;width=1388;profit=2312408
name=B187;length=478;width=218;profit=104204
name=B188;length=210;width=268;profit=56280
name=B189;length=2322;width=148;profit=343656
name=B190;length=2924;width=296;profit=865504
name=B191;length=1438;width=136;profit=195568
name=B192;length=1064;width=1206;profit=1283184
name=B193;length=1728;width=602;profit=1040256
name=B194;length=322;width=2358;profit=759276
name=B195;length=148;width=230;profit=34040
name=B196;length=648;width=2116;profit=1371168
name=B197;length=1578;width=1776;profit=2802528
name=B198;length=1254;width=394;profit=494076
name=B199;length=1458;width=626;profit=912708
name=B200;length=624;width=196;profit=122304
