name=LW4;stock_length=45237;stock_width=35983;item_number=200;optimum=566102201

name=B1;length=28;width=80;profit=448
name=B2;length=48;width=188;profit=1354
name=B3;length=256;width=358;profit=14664
name=B4;length=444;width=566;profit=60313
name=B5;length=2588;width=254;profit=230073
name=B6;length=256;width=4502;profit=276603
name=B7;length=2002;width=322;profit=135375
name=B8;length=3028;width=1002;profit=1001238
name=B9;length=802;width=654;profit=104902
name=B10;length=364;width=388;profit=28246
name=B11;length=532;width=2490;profit=132468
name=B12;length=534;width=2320;profit=185832
name=B13;length=536;width=632;profit=47425
name=B14;length=522;width=436;profit=29587
name=B15;length=904;width=2098;profit=208625
name=B16;length=764;width=2224;profit=203896
name=B17;length=832;width=392;profit=42399
name=B18;length=2110;width=5548;profit=1873005
name=B19;length=698;width=232;profit=24290
name=B20;length=456;width=322;profit=20556
name=B21;length=1532;width=1490;profit=342402
name=B22;length=1532;width=1320;profit=323558
name=B23;length=1534;width=1632;profit=450628
name=B24;length=1522;width=1436;profit=371551
name=B25;length=1904;width=1098;profit=271777
name=B26;length=1764;width=1224;profit=345462
name=B27;length=1832;width=1392;profit=382522
name=B28;length=1110;width=1548;profit=412387
name=B29;length=1698;width=1232;profit=460226
name=B30;length=1456;width=1322;profit=461960
name=B31;length=3532;width=1490;profit=1315670
name=B32;length=3532;width=1320;profit=1072315
name=B33;length=3536;width=1632;profit=1154150
name=B34;length=3522;width=1436;profit=1011518
name=B35;length=3904;width=1098;profit=857318
name=B36;length=3764;width=1224;profit=1151784
name=B37;length=3832;width=1392;profit=1280195
name=B38;length=3110;width=1548;profit=1010999
name=B39;length=3698;width=1232;profit=1002306
name=B40;length=3456;width=1322;profit=822390
name=B41;length=1532;width=2490;profit=724789
name=B42;length=1532;width=2320;profit=604221
name=B43;length=1532;width=2632;profit=645156
name=B44;length=1522;width=2436;profit=556139
name=B45;length=1904;width=2098;profit=998648
name=B46;length=1764;width=2224;profit=1020015
name=B47;length=1832;width=2392;profit=1270822
name=B48;length=1110;width=2548;profit=791918
name=B49;length=1698;width=2232;profit=757987
name=B50;length=1456;width=2322;profit=676166
name=B51;length=436;width=1490;profit=136424
name=B52;length=232;width=1320;profit=70435
name=B53;length=236;width=932;profit=46190
name=B54;length=822;width=636;profit=125470
name=B55;length=1004;width=1094;profit=274594
name=B56;length=2694;width=1220;profit=854537
name=B57;length=632;width=894;profit=129952
name=B58;length=1110;width=346;profit=84493
name=B59;length=598;width=532;profit=63627
name=B60;length=658;width=920;profit=121072
name=B61;length=730;width=1830;profit=267180
name=B62;length=822;width=1740;profit=343267
name=B63;length=932;width=1108;profit=154898
name=B64;length=598;width=732;profit=100679
name=B65;length=562;width=1322;profit=111445
name=B66;length=1794;width=1008;profit=434004
name=B67;length=1248;width=748;profit=140026
name=B68;length=936;width=892;profit=125237
name=B69;length=362;width=182;profit=1054
name=B70;length=378;width=200;profit=10584
name=B71;length=410;width=164;profit=8069
name=B72;length=424;width=148;profit=8158
name=B73;length=426;width=296;profit=21436
name=B74;length=438;width=116;profit=12702
name=B75;length=464;width=1006;profit=116696
name=B76;length=520;width=206;profit=24638
name=B77;length=520;width=350;profit=38220
name=B78;length=540;width=530;profit=60102
name=B79;length=548;width=1412;profit=162493
name=B80;length=548;width=1882;profit=247521
name=B81;length=552;width=496;profit=76662
name=B82;length=554;width=754;profit=83543
name=B83;length=556;width=496;profit=27578
name=B84;length=558;width=654;profit=51090
name=B85;length=570;width=478;profit=40869
name=B86;length=572;width=592;profit=54180
name=B87;length=574;width=978;profit=95433
name=B88;length=576;width=1176;profit=121928
name=B89;length=578;width=1574;profit=172857
name=B90;length=580;width=1390;profit=145116
