name=LX4;stock_length=45237;stock_width=35983;item_number=200;optimum=566205113

name=B1;length=28;width=80;profit=448
name=B2;length=48;width=188;profit=1354
name=B3;length=256;width=358;profit=16633
name=B4;length=444;width=566;profit=60313
name=B5;length=2588;width=254;profit=230073
name=B6;length=256;width=4502;profit=276603
name=B7;length=2002;width=322;profit=147729
name=B8;length=3028;width=1002;profit=1001238
name=B9;length=802;width=654;profit=121162
name=B10;length=364;width=388;profit=28246
name=B11;length=532;width=2490;profit=314217
name=B12;length=534;width=2320;profit=293017
name=B13;length=536;width=632;profit=81177
name=B14;length=522;width=436;profit=51547
name=B15;length=904;width=2098;profit=471863
name=B16;length=764;width=2224;profit=430613
name=B17;length=832;width=392;profit=68883
name=B18;length=2110;width=5548;profit=3468393
name=B19;length=698;width=232;profit=34435
name=B20;length=456;width=322;profit=32573
name=B21;length=1532;width=1490;profit=617120
name=B22;length=1532;width=1320;profit=563203
name=B23;length=1534;width=1632;profit=682643
name=B24;length=1522;width=1436;profit=599587
name=B25;length=1904;width=1098;profit=575883
name=B26;length=1764;width=1224;profit=600173
name=B27;length=1832;width=1392;profit=708418
name=B28;length=1110;width=1548;profit=495855
name=B29;length=1698;width=1232;profit=578159
name=B30;length=1456;width=1322;profit=537430
name=B31;length=3532;width=1490;profit=1623795
name=B32;length=3532;width=1320;profit=1452751
name=B33;length=3536;width=1632;profit=1817578
name=B34;length=3522;width=1436;profit=1560770
name=B35;length=3904;width=1098;profit=1337883
name=B36;length=3764;width=1224;profit=1422515
name=B37;length=3832;width=1392;profit=1712795
name=B38;length=3110;width=1548;profit=1572105
name=B39;length=3698;width=1232;profit=1411722
name=B40;length=3456;width=1322;profit=1436105
name=B41;length=1532;width=2490;profit=1066689
name=B42;length=1532;width=2320;profit=985502
name=B43;length=1532;width=2632;profit=1116488
name=B44;length=1522;width=2436;profit=1036168
name=B45;length=1904;width=2098;profit=1140933
name=B46;length=1764;width=2224;profit=1133501
name=B47;length=1832;width=2392;profit=1270822
name=B48;length=1110;width=2548;profit=804670
name=B49;length=1698;width=2232;profit=1050232
name=B50;length=1456;width=2322;profit=918611
name=B51;length=436;width=1490;profit=136424
name=B52;length=232;width=1320;profit=70435
name=B53;length=236;width=932;profit=46190
name=B54;length=822;width=636;profit=125470
name=B55;length=1004;width=1094;profit=278239
name=B56;length=2694;width=1220;profit=1059275
name=B57;length=632;width=894;profit=141396
name=B58;length=1110;width=346;profit=85052
name=B59;length=598;width=532;profit=79352
name=B60;length=658;width=920;profit=147219
name=B61;length=730;width=1830;profit=331649
name=B62;length=822;width=1740;profit=358544
name=B63;length=932;width=1108;profit=252697
name=B64;length=598;width=732;profit=110202
name=B65;length=562;width=1322;profit=193803
name=B66;length=1794;width=1008;profit=496139
name=B67;length=1248;width=748;profit=235046
name=B68;length=936;width=892;profit=201573
name=B69;length=362;width=182;profit=10753
name=B70;length=378;width=200;profit=11669
name=B71;length=410;width=164;profit=12545
name=B72;length=424;width=148;profit=9331
name=B73;length=426;width=296;profit=22771
name=B74;length=438;width=116;profit=12702
name=B75;length=464;width=1006;profit=116696
name=B76;length=520;width=206;profit=24638
name=B77;length=520;width=350;profit=42149
name=B78;length=540;width=530;profit=67111
name=B79;length=548;width=1412;profit=185889
name=B80;length=548;width=1882;profit=247521
name=B81;length=552;width=496;profit=76662
name=B82;length=554;width=754;profit=107443
name=B83;length=556;width=496;profit=76663
name=B84;length=558;width=654;profit=91158
name=B85;length=570;width=478;profit=63817
name=B86;length=572;width=592;profit=85624
name=B87;length=574;width=978;profit=140929
name=B88;length=576;width=1176;profit=171248
name=B89;length=578;width=1574;profit=238950
name=B90;length=580;width=1390;profit=214005
name=B91;length=590;width=1490;profit=238054
name=B92;length=600;width=1590;profit=250227
name=B93;length=620;width=1690;profit=272260
name=B94;length=662;width=1034;profit=171297
name=B95;length=724;width=1724;profit=315426
name=B96;length=1526;width=1446;profit=607915
name=B97;length=1858;width=2648;profit=1400472
name=B98;length=1728;width=464;profit=187593
name=B99;length=928;width=1674;profit=388368
name=B100;length=2028;width=932;profit=541433
name=B101;length=1022;width=1638;profit=431272
name=B102;length=752;width=746;profit=140248
name=B103;length=926;width=916;profit=203838
name=B104;length=2006;width=566;profit=273953
name=B105;length=1024;width=1892;profit=499186
name=B106;length=1376;width=1932;profit=733241
name=B107;length=724;width=1750;profit=317288
name=B108;length=2098;width=946;profit=595412
name=B109;length=1238;width=1204;profit=447166
name=B110;length=1026;width=764;profit=235159
name=B111;length=1736;width=932;profit=485386
name=B112;length=996;width=2532;profit=656778
name=B113;length=1966;width=2422;profit=1336667
name=B114;length=2828;width=1942;profit=1792611
name=B115;length=1534;width=1788;profit=743005
name=B116;length=432;width=738;profit=61063
name=B117;length=732;width=822;profit=145044
name=B118;length=636;width=932;profit=145243
name=B119;length=822;width=598;profit=115696
name=B120;length=1004;width=568;profit=136977
name=B121;length=466;width=792;profit=92268
name=B122;length=932;width=648;profit=140956
name=B123;length=2110;width=932;profit=552772
name=B124;length=598;width=562;profit=79800
name=B125;length=658;width=726;profit=115219
name=B126;length=924;width=3722;profit=864437
name=B127;length=1490;width=1830;profit=742296
name=B128;length=1320;width=1740;profit=637848
name=B129;length=932;width=2100;profit=488538
name=B130;length=638;width=732;profit=117747
name=B131;length=1094;width=1322;profit=389975
name=B132;length=1222;width=2402;profit=821705
name=B133;length=894;width=746;profit=160689
name=B134;length=544;width=894;profit=114641
name=B135;length=532;width=2132;profit=269839
name=B136;length=452;width=642;profit=65145
name=B137;length=724;width=1264;profit=225389
name=B138;length=928;width=678;profit=145941
name=B139;length=828;width=632;profit=124298
name=B140;length=724;width=938;profit=161202
name=B141;length=754;width=444;profit=71155
name=B142;length=928;width=316;profit=66947
name=B143;length=2006;width=894;profit=473527
name=B144;length=576;width=1932;profit=286762
name=B145;length=726;width=1750;profit=317289
name=B146;length=1974;width=946;profit=531577
name=B147;length=1238;width=1206;profit=447167
name=B148;length=1228;width=762;profit=232039
name=B149;length=1732;width=932;profit=424802
name=B150;length=992;width=2532;profit=656773
name=B151;length=562;width=2420;profit=360907
name=B152;length=724;width=1944;profit=350816
name=B153;length=1538;width=788;profit=326605
name=B154;length=648;width=1232;profit=204285
name=B155;length=1026;width=892;profit=262804
name=B156;length=2366;width=248;profit=135085
name=B157;length=542;width=128;profit=14047
name=B158;length=236;width=542;profit=22513
name=B159;length=128;width=1266;profit=27926
name=B160;length=1026;width=2786;profit=821466
name=B161;length=9096;width=8726;profit=26945648
name=B162;length=5468;width=3524;profit=6469291
name=B163;length=1266;width=4526;profit=1667507
name=B164;length=2354;width=1296;profit=868805
name=B165;length=2694;width=2548;profit=2346557
name=B166;length=2544;width=5004;profit=3729358
name=B167;length=586;width=894;profit=135124
name=B168;length=568;width=898;profit=131968
