name=LX5;stock_length=45237;stock_width=35983;item_number=550

name=1B1;length=439;width=1487;profit=160414
name=1B2;length=235;width=1317;profit=70438
name=1B3;length=239;width=929;profit=54991
name=1B4;length=824;width=636;profit=180327
name=1B5;length=1005;width=1091;profit=371010
name=1B6;length=266;width=1220;profit=81130
name=1B7;length=632;width=892;profit=190280
name=1B8;length=1110;width=344;profit=133644
name=1B9;length=601;width=529;profit=133620
name=1B10;length=658;width=921;profit=200871
name=1B11;length=732;width=1830;profit=491711
name=1B12;length=825;width=1737;profit=505038
name=1B13;length=932;width=1106;profit=352245
name=1B14;length=601;width=729;profit=157991
name=1B15;length=570;width=1320;profit=229369
name=1B16;length=1794;width=1004;profit=694216
name=1B17;length=1250;width=744;profit=334691
name=1B18;length=934;width=890;profit=269832
name=1B19;length=562;width=1030;profit=168756
name=1B20;length=722;width=1720;profit=459186
name=1B21;length=1526;width=1448;profit=790587
name=1B22;length=1858;width=2644;profit=1931494
name=1B23;length=1726;width=464;profit=249106
name=1B24;length=928;width=1672;profit=542177
name=1B25;length=2031;width=929;profit=659521
name=1B26;length=1028;width=1636;profit=571050
name=1B27;length=757;width=747;profit=209232
name=1B28;length=927;width=915;profit=272363
name=1B29;length=2006;width=564;profit=426556
name=1B30;length=1029;width=1893;profit=654860
name=1B31;length=1379;width=1929;profit=1014117
name=1B32;length=731;width=1745;profit=476086
name=1B33;length=2099;width=945;profit=686344
name=1B34;length=1238;width=1208;profit=580544
name=1B35;length=1028;width=766;profit=256862
name=1B36;length=1734;width=932;profit=577770
name=1B37;length=994;width=2532;profit=859476
name=1B38;length=1966;width=2422;profit=1832164
name=1B39;length=2828;width=1946;profit=2090056
name=1B40;length=1536;width=1788;profit=1003148
name=1B41;length=438;width=730;profit=78417
name=1B42;length=732;width=822;profit=197093
name=1B43;length=639;width=929;profit=197997
name=1B44;length=825;width=595;profit=162023
name=1B45;length=1007;width=565;profit=185633
name=1B46;length=464;width=794;profit=115070
name=1B47;length=935;width=645;profit=202399
name=1B48;length=2110;width=934;profit=686814
name=1B49;length=599;width=561;profit=133619
name=1B50;length=656;width=726;profit=166054
name=1B51;length=926;width=3726;profit=1231315
name=1B52;length=1493;width=1827;profit=1010245
name=1B53;length=1320;width=1740;profit=881113
name=1B54;length=932;width=2100;profit=670277
name=1B55;length=636;width=732;profit=162710
name=1B56;length=1094;width=1324;profit=514446
name=1B57;length=1222;width=2408;profit=1148983
name=1B58;length=894;width=748;profit=233042
name=1B59;length=548;width=894;profit=150982
name=1B60;length=532;width=2138;profit=353573
name=1B61;length=452;width=642;profit=67919
name=1B62;length=722;width=1264;profit=323956
name=1B63;length=924;width=674;profit=206042
name=1B64;length=826;width=630;profit=172320
name=1B65;length=724;width=936;profit=215323
name=1B66;length=754;width=446;profit=114337
name=1B67;length=922;width=316;profit=93233
name=1B68;length=2002;width=892;profit=647535
name=1B69;length=576;width=1932;profit=362628
name=1B70;length=726;width=1750;profit=476077
name=1B71;length=1974;width=944;profit=648401
name=1B72;length=1234;width=1206;profit=580541
name=1B73;length=1224;width=766;profit=336838
name=1B74;length=1735;width=931;profit=577770
name=1B75;length=995;width=2531;profit=859476
name=1B76;length=564;width=2422;profit=413541
name=1B77;length=722;width=1944;profit=496763
name=1B78;length=1537;width=787;profit=418466
name=1B79;length=648;width=1232;profit=295482
name=1B80;length=1024;width=894;profit=290331
name=1B81;length=236;width=248;profit=13349
name=1B82;length=544;width=124;profit=16322
name=1B83;length=239;width=539;profit=31981
name=1B84;length=128;width=128;profit=3969
name=1B85;length=1026;width=2788;profit=981608
name=1B86;length=9100;width=8724;profit=32998434
name=1B87;length=5471;width=3521;profit=7890294
name=1B88;length=1264;width=4524;profit=2266799
name=1B89;length=2354;width=1298;profit=1131177
name=1B90;length=1698;width=2542;profit=1645089
name=1B91;length=2542;width=5004;profit=5113885
name=1B92;length=582;width=894;profit=155911
name=1B93;length=566;width=894;profit=150984
name=1B94;length=567;width=1019;profit=189097
name=1B95;length=1254;width=2014;profit=978305
name=1B96;length=2012;width=1254;profit=937994
name=1B97;length=1257;width=1297;profit=617232
name=1B98;length=2352;width=2364;profit=2112964
name=1B99;length=2502;width=2502;profit=2467192
name=1B100;length=1299;width=2363;profit=1183285
name=2B1;length=438;width=1488;profit=160247
name=2B2;length=234;width=1318;profit=70437
name=2B3;length=236;width=932;profit=54988
name=2B4;length=823;width=637;profit=180326
name=2B5;length=1004;width=1092;profit=371009
name=2B6;length=268;width=1222;profit=81131
name=2B7;length=634;width=892;profit=190728
name=2B8;length=1112;width=344;profit=133646
name=2B9;length=600;width=530;profit=133619
name=2B10;length=659;width=921;profit=202487
name=2B11;length=734;width=1828;profit=492158
name=2B12;length=824;width=1738;profit=505037
name=2B13;length=934;width=1104;profit=352247
name=2B14;length=600;width=730;profit=157990
name=2B15;length=569;width=1321;profit=229167
name=2B16;length=1793;width=1005;profit=640405
name=2B17;length=1248;width=746;profit=334690
name=2B18;length=932;width=892;profit=269831
name=2B19;length=562;width=1032;profit=168757
name=2B20;length=722;width=1722;profit=460211
name=2B21;length=1527;width=1445;profit=790588
name=2B22;length=1858;width=2646;profit=2024570
name=2B23;length=1722;width=466;profit=288883
name=2B24;length=929;width=1671;profit=542177
name=2B25;length=2030;width=930;profit=659520
name=2B26;length=1028;width=1638;profit=572500
name=2B27;length=756;width=748;profit=209231
name=2B28;length=926;width=916;profit=272362
name=2B29;length=2006;width=562;profit=426555
name=2B30;length=1029;width=1892;profit=654859
name=2B31;length=1378;width=1930;profit=1014116
name=2B32;length=730;width=1746;profit=476085
name=2B33;length=2101;width=943;profit=686346
name=2B34;length=1240;width=1204;profit=580544
